tag,coarse_top1,fine_top1,param_count(M),forward_ms_bs1_224,peak_mem(MB)
vit_base_patch16_224,0.9662,0.9210,86.62,51.86,348.7
vit_small_patch16_224,0.9540,0.9052,22.10,5.49,98.9
resnet50_cbam,0.8829,0.8044,28.22,35.96,254.7
resnet50,0.8806,0.8034,27.70,6.40,250.5
resnet34_cbam,0.8795,0.8018,22.39,28.27,119.7
resnet34,0.8767,0.7974,22.36,4.57,120.2
resnet18,0.8428,0.7693,12.25,2.93,81.0
resnet18_cbam,0.8472,0.7642,12.28,4.94,82.0
